Part Number,Marking,Manufacturer,Quantity,Category,Description,Package,Datasheet URL,Source Photos,Identification Confidence,Count Confidence,Notes
74HC4052N,"74HC4052N; L0D755 04; UnG1034D",NXP Semiconductors,1,Analog switch,"Dual 4-channel analog multiplexer/demultiplexer",PDIP-16,https://assets.nexperia.com/documents/data-sheet/74HC_HCT4052.pdf,IMG_20260818_200603.jpg,high,high,"Lower lines are trace/date/assembly codes."
MC1458P,"MC1458P; 831A6?A",Motorola-era marking,2,Operational amplifier,"Dual general-purpose operational amplifier",PDIP-8,https://www.ti.com/lit/ds/symlink/mc1458.pdf,IMG_20260818_200629.jpg,medium,medium,"Upper string is trace/date data; linked TI datasheet is for the compatible MC1458P."
HD74LS30P,"HD74LS30P; 4H46",Hitachi / Renesas,1,Logic gate,"Single 8-input LS-TTL NAND gate",DIP-14,https://www.renesas.com/en/document/dst/hd74ls30-datasheet,IMG_20260818_200635.jpg,high,high,"4H46 is a manufacturing/date code."
SN74HC165N,"SN74HC165N; 03CCFFK E4",Texas Instruments,1,Shift register,"8-bit parallel-load serial-output shift register",PDIP-16,https://www.ti.com/lit/ds/symlink/sn74hc165.pdf,IMG_20260818_200642.jpg,high,high,"03CCFFK is trace data; E4 is an environmental/finish code."
JRC-23F/005-1ZS(555),"JRC-23F; 005-1ZS(555); FN42A",Hongfa,2,Signal relay,"5 V SPDT subminiature signal relay",6-pin PCB relay,https://source.hongfa.com/Uploads/Product/PDF/HFD23_en.pdf,IMG_20260818_200658.jpg,high,medium,"This is a relay rather than an IC; FN42A is trace data."
LM386N-1,"LM / 386N-1; PR35AU",National Semiconductor / Texas Instruments,1,Audio amplifier,"Low-voltage mono audio power amplifier",PDIP-8,https://www.ti.com/lit/ds/symlink/lm386.pdf,IMG_20260818_200705.jpg,high,high,"PR35AU is a trace/date code."
SN74HC138N,"SN74HC138N; 18BW2ANDK / 12A8F7K E4",Texas Instruments,2,Decoder logic,"3-to-8-line decoder/demultiplexer",PDIP-16,https://www.ti.com/lit/ds/symlink/sn74hc138.pdf,"IMG_20260818_200723.jpg; IMG_20260818_200828.jpg",high,medium,"Upper strings are trace/lot codes; E4 is an environmental/finish code."
SCL4049A/BE,"SCL4049A/BE; 7637 80",Solid State Scientific,1,CMOS logic,"Hex inverting buffer and logic-level converter",DIP-16,https://mirrors.meulie.net/bitsavers.org/components/solidStateScientific/1984_Solid_State_Scientific_4000_Series_CMOS_Logic.pdf,IMG_20260818_200730.jpg,medium,high,"7637 and 80 appear to be legacy date/lot codes; link is an archived manufacturer catalog."
L293D,L293D,STMicroelectronics,1,Motor/load driver,"Four high-current half-H drivers with clamp diodes",PowerDIP-16,https://www.st.com/content/ccc/resource/technical/document/datasheet/04/ac/22/f9/20/5d/43/a1/CD00000059.pdf/files/CD00000059.pdf/jcr:content/translations/en.CD00000059.pdf,IMG_20260818_200742.jpg,high,high,"Microscope display is horizontally mirrored; faint lower lines are trace/origin codes."
NTE4011B,"NTE4011B; 031D",NTE Electronics,1,CMOS logic,"Quad 2-input NAND gate",DIP-14,https://resources.ampheo.com/static/datasheets/nte-electronics-inc/nte4011b.pdf,IMG_20260818_200750.jpg,high,high,"031D is a date/lot code; datasheet is an archived NTE document."
CD4030BE,"CD4030BE; 86A0090B",Harris Semiconductor,1,CMOS logic,"Quad 2-input XOR gate",PDIP-14,https://www.ti.com/lit/ds/symlink/cd4030b.pdf,IMG_20260818_200759.jpg,high,high,"86A0090B is legacy trace data; linked TI sheet covers the same device family."
NTE74LS273,"NTE74LS273; 033K",NTE Electronics,1,TTL register,"Octal D-type flip-flop/register with common clear",DIP-20,https://www.ti.com/lit/ds/symlink/sn74ls273.pdf,IMG_20260818_200806.jpg,high,high,"033K is a date/lot code; linked TI sheet covers the equivalent 74LS273."
ULN2803A,ULN2803A,STMicroelectronics,1,Load driver,"Eight Darlington drivers with inductive-load suppression diodes",PDIP-18,https://www.st.com/resource/en/datasheet/uln2801a.pdf,IMG_20260818_200820.jpg,high,high,"ST datasheet covers ULN2801A through ULN2804A; faint lower lines are trace/origin codes."
CD4511BCN,"CD4511BCN; P0248AD",Fairchild Semiconductor,1,Display logic,"BCD latch/decoder/driver for seven-segment displays",PDIP-16,https://radio-hobby.org/uploads/datasheet/7/cd45/cd4511bcn.pdf,IMG_20260818_200840.jpg,high,medium,"P0248AD is production/date/lot coding; datasheet is an archived Fairchild document."
SN74LS147N,"SN74LS147N; CPCP0006",Motorola Semiconductor / onsemi,1,Encoder logic,"Active-low decimal-to-BCD priority encoder",PDIP-16,https://www.onsemi.com/pdf/datasheet/sn74ls147-d.pdf,IMG_20260818_200905.jpg,high,medium,"CPCP0006 is trace/lot coding."
DM74LS00N,"DM74LS00N; upper trace line illegible",Fairchild Semiconductor,1,Logic gate,"Four independent 2-input LS-TTL NAND gates",PDIP-14,https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/DM74LS00.pdf,IMG_20260818_200917.jpg,medium,medium,"Part line is readable but low contrast; datasheet is an archived Fairchild document."
HD74LS373P,"HD74LS373P; 4C26",Hitachi / Renesas,1,Bus/register logic,"Octal transparent D latch with 3-state outputs",DIP-20,https://www.renesas.com/en/document/dst/hd74ls373-datasheet,IMG_20260818_200930.jpg,high,medium,"4C26 is a production/date code."
MC14489BPE,"MC14489BPE; E0A2Z?NK0943",Motorola Semiconductor / NXP,1,Display driver,"Serially controlled multiplexed multi-character LED/lamp driver",PDIP-20,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4849/DS_568_MC14489B.pdf,IMG_20260818_200936.jpg,high,medium,"Lower line is partly illegible trace/date coding; datasheet is an archived Motorola document."
74LS147N,"74LS147N; B57070PS; Hnn9905 A",Philips Semiconductors,1,Encoder logic,"Active-low decimal-to-BCD priority encoder",DIP-16,https://www.onsemi.com/pdf/datasheet/sn74ls147-d.pdf,IMG_20260818_200943.jpg,high,medium,"Lower strings are trace/lot/date codes; linked onsemi sheet covers the equivalent LS147."
NTE74LS30,"NTE74LS30; 041J",NTE Electronics,1,Logic gate,"Single 8-input positive NAND gate",DIP-14,https://www.ti.com/lit/ds/symlink/sn74ls30.pdf,IMG_20260818_200949.jpg,high,medium,"041J is trace/date coding; linked TI sheet covers the equivalent 74LS30."
SN754410NE,"SN754410NE; H6C73XM",Texas Instruments,1,Motor/load driver,"Four 1 A half-H drivers for motors, relays, and solenoids",PDIP-16,https://www.ti.com/lit/ds/symlink/sn754410.pdf,IMG_20260818_200956.jpg,high,medium,"H6C73XM is trace/lot coding."
CD4012BE,"CD4012BE; 72FRTHK E4",Texas Instruments,1,CMOS logic,"Two independent 4-input NAND gates",PDIP-14,https://www.ti.com/lit/ds/symlink/cd4012b.pdf,IMG_20260818_201008.jpg,high,medium,"72FRTHK is trace/lot; E4 is an environmental/finish code."
SN74LS47N,"No legible marking; user best-guess SN74LS47N",Probably Texas Instruments,1,Display logic,"BCD-to-seven-segment decoder/driver with open-collector outputs",PDIP-16,https://www.ti.com/lit/ds/sdls111/sdls111.pdf,IMG_20260818_201029.jpg,low,low,"Tentative identification supplied by the user; the image marking is unreadable and the apparent package should be physically checked for 16 pins."
LM339N,"LM / 339N; V306",Fairchild Semiconductor,1,Analog comparator,"Four independent open-collector voltage comparators",DIP-14,https://www.onsemi.com/pdf/datasheet/lm339a-d.pdf,IMG_20260818_201035.jpg,high,medium,"V306 is production/date/lot coding; linked onsemi sheet covers the successor family."
NE5044N,"NE5044N; FFU6362; 8927VD",Signetics / Philips,2,RC encoder,"Programmable seven-channel parallel-input serial pulse-width encoder",PDIP-16,https://www.alldatasheet.com/datasheet-pdf/pdf/17950/PHILIPS/NE5044N.html,"IMG_20260818_201043.jpg; IMG_20260818_201049.jpg",high,medium,"8927 likely indicates 1989 week 27; link is an archived Philips/Signetics datasheet."
µPC358C,"C358C; 8905Y",NEC / Renesas,2,Operational amplifier,"Low-power dual general-purpose operational amplifier",PDIP-8,https://www.renesas.com/en/document/dst/upc1251-upc358-datasheet,"IMG_20260818_201102.jpg; IMG_20260818_201115.jpg",medium,medium,"Package omits the printed µP prefix; 8905Y is date/trace coding."
SN7447AN,"SN7447AN; 52EDVNK",Texas Instruments,1,Display logic,"BCD-to-seven-segment decoder/driver for common-anode displays",PDIP-16,https://www.ti.com/lit/ds/symlink/sn7447a.pdf,IMG_20260818_201123.jpg,high,medium,"52EDVNK is manufacturing trace data."
NTE74LS04,"NTE74LS04; 044F",NTE Electronics,1,Logic gate,"Six independent low-power Schottky TTL inverters",PDIP-14,https://resources.ampheo.com/static/datasheets/nte-electronics-inc/nte74ls04.pdf,IMG_20260818_201131.jpg,high,medium,"044F is date/lot information; datasheet is an archived NTE document."
UNRESOLVED-DIP8-A,"No legible marking",Unknown,1,Unknown IC,"Unmarked or underexposed 8-pin integrated circuit",DIP-8,,IMG_20260818_201143.jpg,low,medium,"Pin-one dimple is visible, but no reliable characters are recoverable."
24LC256-I/P,"24LC256; I/P e3 3J; 1114",Microchip Technology,1,Nonvolatile memory,"256-Kbit I2C serial EEPROM with 64-byte page writes",PDIP-8,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/24AA256-24LC256-24FC256-256K-I2C-Serial-EEPROM-DS20001203.pdf,IMG_20260818_201152.jpg,high,medium,"I/P is the industrial PDIP suffix; e3 is finish; 1114 is likely 2011 week 14."
NE555N,"NE555N; K102?1 / Y325",STMicroelectronics; Fairchild Semiconductor,2,Timer/oscillator,"Bipolar 555 timer for delays, pulse generation, and oscillators",PDIP-8,"https://www.st.com/resource/en/datasheet/ne555.pdf; https://www.onsemi.com/pdf/datasheet/lm555-d.pdf","IMG_20260818_201219.jpg; IMG_20260818_201253.jpg",high,medium,"Two manufacturers are consolidated by exact part number; other strings are trace/date codes."
LM358N,"LM / 358N; T?X50; CPAS; 0423",National Semiconductor / Texas Instruments; second maker unknown,2,Operational amplifier,"Dual low-power frequency-compensated general-purpose operational amplifier",PDIP-8,https://www.ti.com/lit/ds/symlink/lm358-n.pdf,"IMG_20260818_193701.jpg; IMG_20260818_201227.jpg",medium,medium,"First line is unclear trace data; the CPAS-marked package was identified as LM358N by the user."
AD5220BN10,"AD5220; B10 0416; C35776",Analog Devices,1,Digital potentiometer,"Single-channel 128-position 10-kΩ increment/decrement digital potentiometer",PDIP-8,https://www.analog.com/media/en/technical-documentation/data-sheets/AD5220.pdf,IMG_20260818_201234.jpg,high,medium,"B10 identifies the 10-kΩ grade; 0416 is likely a date code; C35776 is trace/lot."
24LC32A,"24LC32A; user-confirmed from faint marking",Microchip Technology,1,Nonvolatile memory,"32-Kbit I2C serial EEPROM with 32-byte page writes",PDIP-8,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/24AA32A-24LC32A-32-Kbit-I2C-Serial-EEPROM-DS20001713.pdf,IMG_20260818_201242.jpg,high,medium,"Exact part number was supplied by the user after the original image could not be read reliably."
